PassengerId,age,fare,sibsp,parch,pclass,sex,embarked,age_group,familysz,survived
63,45.0,83.475,1.0,0.0,0,1,2,0,1,0
64,4.0,27.9,3.0,2.0,2,1,2,1,0,0
66,9.0,15.2458,1.0,1.0,2,1,0,1,1,1
67,29.0,10.5,0.0,0.0,1,0,2,4,1,1
68,19.0,8.1583,0.0,0.0,2,1,2,3,1,0
69,17.0,7.925000000000001,4.0,2.0,2,0,2,3,0,1
70,26.0,8.662500000000001,2.0,0.0,2,1,2,4,1,0
71,32.0,10.5,0.0,0.0,1,1,2,0,1,0
72,16.0,46.9,5.0,2.0,2,0,2,3,0,0
73,21.0,73.5,0.0,0.0,1,1,2,3,1,0
74,26.0,14.4542,1.0,0.0,2,1,0,4,1,0
75,32.0,56.4958,0.0,0.0,2,1,2,0,1,1
76,25.0,7.649999999999999,0.0,0.0,2,1,2,4,1,0
79,0.8299999999999983,29.0,0.0,2.0,1,1,2,1,1,1
80,30.0,12.475000000000001,0.0,0.0,2,0,2,0,1,1
81,22.0,9.0,0.0,0.0,2,1,2,4,1,0
82,29.0,9.5,0.0,0.0,2,1,2,4,1,1
83,24.400000000571442,7.787500000000001,0.0,0.0,2,0,1,4,1,1
84,28.0,47.1,0.0,0.0,0,1,2,4,1,0
85,17.0,10.5,0.0,0.0,1,0,2,3,1,1
86,33.0,15.850000000000001,3.0,0.0,2,0,2,0,0,1
87,16.0,34.375,1.0,3.0,2,1,2,3,0,0
89,23.0,263.00000000000006,3.0,2.0,0,0,2,4,0,1
90,24.0,8.05,0.0,0.0,2,1,2,4,1,0
91,29.0,8.05,0.0,0.0,2,1,2,4,1,0
92,20.0,7.854199999999999,0.0,0.0,2,1,2,3,1,0
93,46.0,61.175,1.0,0.0,0,1,2,0,1,0
94,26.0,20.575,1.0,2.0,2,1,2,4,0,0
95,59.0,7.25,0.0,0.0,2,1,2,2,1,0
97,71.0,34.6542,0.0,0.0,0,1,0,2,1,0
98,23.0,63.3583,0.0,1.0,0,1,0,4,1,1
99,34.0,23.0,0.0,1.0,1,0,2,0,1,1
100,34.0,26.0,1.0,0.0,1,1,2,0,1,0
101,28.0,7.895800000000001,0.0,0.0,2,0,2,4,1,0
103,21.0,77.2875,0.0,1.0,0,1,2,3,1,0
104,33.0,8.6542,0.0,0.0,2,1,2,0,1,0
105,37.0,7.925000000000001,2.0,0.0,2,1,2,0,1,0
106,28.0,7.895800000000001,0.0,0.0,2,1,2,4,1,0
107,21.0,7.649999999999999,0.0,0.0,2,0,2,3,1,1
108,38.0,7.774999999999999,0.0,0.0,2,1,2,0,1,1
109,38.0,7.895800000000001,0.0,0.0,2,1,2,0,1,0
110,29.722891566265226,24.15,1.0,0.0,2,0,1,4,1,1
111,47.0,52.0,0.0,0.0,0,1,2,0,1,0
112,14.499999999999998,14.4542,1.0,0.0,2,0,0,3,1,0
113,22.0,8.05,0.0,0.0,2,1,2,4,1,0
114,20.0,9.825,1.0,0.0,2,0,2,3,1,0
115,17.0,14.458300000000001,0.0,0.0,2,0,0,3,1,0
116,21.0,7.925000000000001,0.0,0.0,2,1,2,3,1,0
117,70.5,7.75,0.0,0.0,2,1,1,2,1,0
118,29.0,21.0,1.0,0.0,1,1,2,4,1,0
119,24.0,247.52080000000007,0.0,1.0,0,1,0,4,1,0
120,2.0,31.275,4.0,2.0,2,0,2,1,0,0
121,21.0,73.5,2.0,0.0,1,1,2,3,1,0
123,32.5,30.0708,1.0,0.0,1,1,0,0,1,0
124,32.5,13.0,0.0,0.0,1,0,2,0,1,1
125,54.0,77.2875,0.0,1.0,0,1,2,2,1,0
126,12.0,11.241700000000002,1.0,0.0,2,1,0,1,1,1
127,31.099999999999998,7.75,0.0,0.0,2,1,1,0,1,0
128,24.0,7.1417,0.0,0.0,2,1,2,4,1,1
129,20.708724330215112,22.3583,1.0,1.0,2,0,0,3,1,1
130,45.0,6.975000000000001,0.0,0.0,2,1,2,0,1,0
131,33.0,7.895800000000001,0.0,0.0,2,1,0,0,1,0
132,20.0,7.050000000000001,0.0,0.0,2,1,2,3,1,0
133,47.0,14.5,1.0,0.0,2,0,2,0,1,0
135,25.0,13.0,0.0,0.0,1,1,2,4,1,0
136,23.0,15.0458,0.0,0.0,1,1,0,4,1,0
137,19.0,26.2833,0.0,2.0,0,0,2,3,1,1
138,37.0,53.1,1.0,0.0,0,1,2,0,1,0
139,16.0,9.2167,0.0,0.0,2,1,2,3,1,0
140,24.0,79.2,0.0,0.0,0,1,0,4,1,0
141,29.0,15.2458,0.0,2.0,2,0,0,4,1,0
142,22.0,7.75,0.0,0.0,2,0,2,4,1,1
143,24.0,15.850000000000001,1.0,0.0,2,0,2,4,1,1
144,19.0,6.7499999999999964,0.0,0.0,2,1,1,3,1,0
145,18.0,11.5,0.0,0.0,1,1,2,3,1,0
146,19.0,36.75,1.0,1.0,1,1,2,3,1,0
147,27.0,7.7958,0.0,0.0,2,1,2,4,1,1
148,9.0,34.375,2.0,2.0,2,0,2,1,0,0
149,36.5,26.0,0.0,2.0,1,1,2,0,1,0
150,42.0,13.0,0.0,0.0,1,1,2,0,1,0
151,51.0,12.524999999999999,0.0,0.0,1,1,2,2,1,0
152,22.0,66.6,1.0,0.0,0,0,2,4,1,1
153,55.5,8.05,0.0,0.0,2,1,2,2,1,0
154,40.5,14.5,0.0,2.0,2,1,2,0,1,0
155,22.29999999998817,7.3125,0.0,0.0,2,1,2,4,1,0
156,51.0,61.3792,0.0,1.0,0,1,0,2,1,0
157,16.0,7.7333,0.0,0.0,2,0,1,3,1,1
158,30.0,8.05,0.0,0.0,2,1,2,0,1,0
159,23.2,8.662500000000001,0.0,0.0,2,1,2,4,1,0
160,10.2,69.55,7.999999999999999,2.0,2,1,2,1,0,0
161,44.0,16.1,0.0,1.0,2,1,2,0,1,0
162,40.0,15.75,0.0,0.0,1,0,2,0,1,1
163,26.0,7.774999999999999,0.0,0.0,2,1,2,4,1,0
164,17.0,8.662500000000001,0.0,0.0,2,1,2,3,1,0
165,1.0,39.6875,4.0,1.0,2,1,2,1,0,0
166,9.0,20.525,0.0,2.0,2,1,2,1,1,1
167,22.0,55.0,0.0,1.0,0,0,2,4,1,1
168,45.0,27.9,1.0,4.0,2,0,2,0,0,0
169,47.53136533767662,25.925,0.0,0.0,0,1,2,0,1,0
170,28.0,56.4958,0.0,0.0,2,1,2,4,1,0
171,61.0,33.5,0.0,0.0,0,1,2,2,1,0
172,4.0,29.125,4.0,1.0,2,1,1,1,0,0
173,1.0,11.133299999999998,1.0,1.0,2,0,2,1,1,1
175,56.0,30.6958,0.0,0.0,0,1,0,2,1,0
176,18.0,7.854199999999999,1.0,1.0,2,1,2,3,1,0
177,4.8620088477743835,25.4667,3.0,1.0,2,1,2,1,0,0
178,50.0,28.7125,0.0,0.0,0,0,0,2,1,0
179,30.0,13.0,0.0,0.0,1,1,2,0,1,0
180,36.0,0.0,0.0,0.0,2,1,2,0,1,0
181,10.2,69.55,7.999999999999999,2.0,2,0,2,1,0,0
182,24.851001560135554,15.05,0.0,0.0,1,1,0,4,1,0
183,9.0,31.3875,4.0,2.0,2,1,2,1,0,0
184,1.0,39.0,2.0,1.0,1,1,2,1,0,1
185,4.0,22.025,0.0,2.0,2,0,2,1,1,1
186,43.26174964112356,50.0,0.0,0.0,0,1,2,0,1,0
187,33.181102362283475,15.5,1.0,0.0,2,0,1,0,1,1
188,45.0,26.55,0.0,0.0,0,1,2,0,1,1
189,40.0,15.5,1.0,1.0,2,1,1,0,1,0
190,36.0,7.895800000000001,0.0,0.0,2,1,2,0,1,0
191,32.0,13.0,0.0,0.0,1,0,2,0,1,1
192,19.0,13.0,0.0,0.0,1,1,2,3,1,0
193,19.0,7.854199999999999,1.0,0.0,2,0,2,3,1,1
194,3.0,26.0,1.0,1.0,1,1,2,1,1,1
195,44.0,27.7208,0.0,0.0,0,0,0,0,1,1
196,58.0,146.5208,0.0,0.0,0,0,0,2,1,1
198,42.0,8.4042,0.0,1.0,2,1,2,0,1,0
200,24.0,13.0,0.0,0.0,1,0,2,4,1,0
201,28.0,9.5,0.0,0.0,2,1,2,4,1,0
203,34.0,6.495800000000003,0.0,0.0,2,1,2,0,1,0
204,45.5,7.225000000000005,0.0,0.0,2,1,0,0,1,0
205,18.0,8.05,0.0,0.0,2,1,2,3,1,1
206,2.0,10.462499999999999,0.0,1.0,2,0,2,1,1,0
207,32.0,15.850000000000001,1.0,0.0,2,1,2,0,1,0
208,26.0,18.7875,0.0,0.0,2,1,0,4,1,1
209,16.0,7.75,0.0,0.0,2,0,1,3,1,1
210,40.0,31.0,0.0,0.0,0,1,0,0,1,1
211,24.0,7.050000000000001,0.0,0.0,2,1,2,4,1,0
212,35.0,21.0,0.0,0.0,1,0,2,0,1,1
213,22.0,7.25,0.0,0.0,2,1,2,4,1,0
215,24.542603240980313,7.75,1.0,0.0,2,1,1,4,1,0
216,31.0,113.275,1.0,0.0,0,0,0,0,1,1
217,27.0,7.925000000000001,0.0,0.0,2,0,2,4,1,1
218,42.0,27.0,1.0,0.0,1,1,2,0,1,0
219,32.0,76.2917,0.0,0.0,0,0,0,0,1,1
220,30.0,10.5,0.0,0.0,1,1,2,0,1,0
221,16.0,8.05,0.0,0.0,2,1,2,3,1,1
222,27.0,13.0,0.0,0.0,1,1,2,4,1,0
223,51.0,8.05,0.0,0.0,2,1,2,2,1,0
225,38.0,90.0,1.0,0.0,0,1,2,0,1,1
226,22.0,9.350000000000001,0.0,0.0,2,1,2,4,1,0
227,19.0,10.5,0.0,0.0,1,1,2,3,1,1
228,20.5,7.25,0.0,0.0,2,1,2,3,1,0
229,18.0,13.0,0.0,0.0,1,1,2,3,1,0
230,4.8620088477743835,25.4667,3.0,1.0,2,0,2,1,0,0
231,35.0,83.475,1.0,0.0,0,0,2,0,1,1
232,29.0,7.774999999999999,0.0,0.0,2,1,2,4,1,0
233,59.0,13.5,0.0,0.0,1,1,2,2,1,0
234,5.0,31.3875,4.0,2.0,2,0,2,1,0,1
235,24.0,10.5,0.0,0.0,1,1,2,4,1,0
236,32.5,7.550000000000001,0.0,0.0,2,0,2,0,1,0
237,44.0,26.0,1.0,0.0,1,1,2,0,1,0
238,8.0,26.25,0.0,2.0,1,0,2,1,1,1
240,33.0,12.274999999999999,0.0,0.0,1,1,2,0,1,0
241,20.75,14.4542,1.0,0.0,2,0,0,3,1,0
243,29.0,10.5,0.0,0.0,1,1,2,4,1,0
244,22.0,7.125,0.0,0.0,2,1,2,4,1,0
245,30.0,7.225000000000005,0.0,0.0,2,1,0,0,1,0
246,44.0,90.0,2.0,0.0,0,1,1,0,1,0
247,25.0,7.774999999999999,0.0,0.0,2,0,2,4,1,0
248,24.0,14.5,0.0,2.0,1,0,2,4,1,1
249,37.0,52.5542,1.0,1.0,0,1,2,0,1,1
250,54.0,26.0,1.0,0.0,1,1,2,2,1,0
251,26.7,7.25,0.0,0.0,2,1,2,4,1,0
252,29.0,10.462499999999999,1.0,1.0,2,0,2,4,1,0
253,62.0,26.55,0.0,0.0,0,1,2,2,1,0
254,30.0,16.1,1.0,0.0,2,1,2,0,1,0
255,41.0,20.2125,0.0,2.0,2,0,2,0,1,0
257,46.0,79.2,0.0,0.0,0,0,0,0,1,1
258,30.0,86.5,0.0,0.0,0,0,2,0,1,1
259,35.0,512.3292,0.0,0.0,0,0,0,0,1,1
260,50.0,26.0,0.0,1.0,1,0,2,2,1,1
262,3.0,31.3875,4.0,2.0,2,1,2,1,0,1
263,52.0,79.65,1.0,1.0,0,1,2,2,1,0
264,40.0,0.0,0.0,0.0,0,1,2,0,1,0
266,36.0,10.5,0.0,0.0,1,1,2,0,1,0
267,16.0,39.6875,4.0,1.0,2,1,2,3,0,0
268,25.0,7.774999999999999,1.0,0.0,2,1,2,4,1,1
269,58.0,153.46250000000003,0.0,1.0,0,0,2,2,1,1
270,35.0,135.63330000000002,0.0,0.0,0,0,2,0,1,1
271,40.0,31.0,0.0,0.0,0,1,2,0,1,0
272,25.0,0.0,0.0,0.0,2,1,2,4,1,1
273,41.0,19.5,0.0,1.0,1,0,2,0,1,1
274,37.0,29.7,0.0,1.0,0,1,0,0,1,0
276,63.0,77.9583,1.0,0.0,0,0,2,2,1,1
277,45.0,7.75,0.0,0.0,2,0,2,0,1,0
278,37.0,0.0,0.0,0.0,1,1,2,0,1,0
279,7.0,29.125,4.0,1.0,2,1,1,1,0,0
280,35.0,20.25,1.0,1.0,2,0,2,0,1,1
281,65.0,7.75,0.0,0.0,2,1,1,2,1,0
282,28.0,7.854199999999999,0.0,0.0,2,1,2,4,1,0
283,16.0,9.5,0.0,0.0,2,1,2,3,1,0
284,19.0,8.05,0.0,0.0,2,1,2,3,1,1
285,32.6,26.0,0.0,0.0,0,1,2,0,1,0
286,33.0,8.662500000000001,0.0,0.0,2,1,0,0,1,0
287,30.0,9.5,0.0,0.0,2,1,2,0,1,1
288,22.0,7.895800000000001,0.0,0.0,2,1,2,4,1,0
290,22.0,7.75,0.0,0.0,2,0,1,4,1,1
291,26.0,78.85,0.0,0.0,0,0,2,4,1,1
292,19.0,91.0792,1.0,0.0,0,0,0,3,1,1
293,36.0,12.875,0.0,0.0,1,1,0,0,1,0
294,24.0,8.850000000000001,0.0,0.0,2,0,2,4,1,0
295,24.0,7.895800000000001,0.0,0.0,2,1,2,4,1,0
297,23.5,7.229199999999999,0.0,0.0,2,1,0,4,1,0
298,2.0,151.55,1.0,2.0,0,0,2,1,0,0
299,41.5,30.5,0.0,0.0,0,1,2,0,1,1
300,50.0,247.52080000000007,0.0,1.0,0,0,0,2,1,1
302,23.598831767293994,23.25,2.0,0.0,2,1,1,4,1,1
303,19.0,0.0,0.0,0.0,2,1,2,3,1,0
304,43.5,12.350000000000001,0.0,0.0,1,0,1,0,1,1
306,0.9200000000000017,151.55,1.0,2.0,0,1,2,1,0,1
307,30.036050961083888,110.8833,0.0,0.0,0,0,0,0,1,1
308,17.0,108.9,1.0,0.0,0,0,0,3,1,1
309,30.0,24.0,1.0,0.0,1,1,0,0,1,0
310,30.0,56.9292,0.0,0.0,0,0,0,0,1,1
311,24.0,83.1583,0.0,0.0,0,0,0,4,1,1
312,18.0,262.375,2.0,2.0,0,0,0,3,0,1
313,26.0,26.0,1.0,1.0,1,0,2,4,1,0
315,43.0,26.25,1.0,1.0,1,1,2,0,1,0
316,26.0,7.854199999999999,0.0,0.0,2,0,2,4,1,1
317,24.0,26.0,1.0,0.0,1,0,2,4,1,1
318,54.0,14.0,0.0,0.0,1,1,2,2,1,0
319,31.0,164.86669999999998,0.0,2.0,0,0,2,0,1,1
320,40.0,134.5,1.0,1.0,0,0,0,0,1,1
322,27.0,7.895800000000001,0.0,0.0,2,1,2,4,1,0
323,30.0,12.350000000000001,0.0,0.0,1,0,1,0,1,1
324,22.0,29.0,1.0,1.0,1,0,2,4,1,1
326,36.0,135.63330000000002,0.0,0.0,0,0,0,0,1,1
327,61.0,6.237500000000001,0.0,0.0,2,1,2,2,1,0
328,36.0,13.0,0.0,0.0,1,0,2,0,1,1
329,31.0,20.525,1.0,1.0,2,0,2,0,1,1
330,16.0,57.9792,0.0,1.0,0,0,0,3,1,1
331,23.598831767293994,23.25,2.0,0.0,2,0,1,4,1,1
332,45.5,28.5,0.0,0.0,0,1,2,0,1,0
333,38.0,153.46250000000003,0.0,1.0,0,1,2,0,1,0
334,16.0,18.0,2.0,0.0,2,1,2,3,1,0
335,27.357605516088586,133.65,1.0,0.0,0,0,2,4,1,1
337,29.0,66.6,1.0,0.0,0,1,2,4,1,0
338,41.0,134.5,0.0,0.0,0,0,0,0,1,1
339,45.0,8.05,0.0,0.0,2,1,2,0,1,1
340,45.0,35.5,0.0,0.0,0,1,2,0,1,0
341,2.0,26.0,1.0,1.0,1,1,2,1,1,1
342,24.0,263.00000000000006,3.0,2.0,0,0,2,4,0,1
343,28.0,13.0,0.0,0.0,1,1,2,4,1,0
345,36.0,13.0,0.0,0.0,1,1,2,0,1,0
347,40.0,13.0,0.0,0.0,1,0,2,0,1,1
348,26.666666666666668,16.1,1.0,0.0,2,0,2,4,1,1
349,3.0,15.899999999999999,1.0,1.0,2,1,2,1,1,1
350,42.0,8.662500000000001,0.0,0.0,2,1,2,0,1,0
351,23.0,9.225000000000001,0.0,0.0,2,1,2,4,1,0
352,51.5802362798965,35.0,0.0,0.0,0,1,2,2,1,0
353,15.0,7.229199999999999,1.0,1.0,2,1,0,3,1,0
354,25.0,17.799999999999997,1.0,0.0,2,1,2,4,1,0
358,38.0,13.0,0.0,0.0,1,0,2,0,1,0
361,40.0,27.9,1.0,4.0,2,1,2,0,0,0
362,29.0,27.7208,1.0,0.0,1,1,0,4,1,0
363,45.0,14.4542,0.0,1.0,2,0,0,0,1,0
364,35.0,7.050000000000001,0.0,0.0,2,1,2,0,1,0
366,30.0,7.25,0.0,0.0,2,1,2,0,1,0
367,60.0,75.25,1.0,0.0,0,0,0,2,1,1
368,24.8,7.229199999999999,0.0,0.0,2,0,0,4,1,1
370,24.0,69.3,0.0,0.0,0,0,0,4,1,1
371,25.0,55.4417,1.0,0.0,0,1,0,4,1,1
372,18.0,6.495800000000003,1.0,0.0,2,1,2,3,1,0
374,22.0,135.63330000000002,0.0,0.0,0,1,0,4,1,0
375,3.0,21.075,3.0,1.0,2,0,2,1,0,0
376,28.0000082713703,82.1708,1.0,0.0,0,0,0,4,1,1
377,22.0,7.25,0.0,0.0,2,0,2,4,1,1
378,27.0,211.5,0.0,2.0,0,1,0,4,1,0
379,20.0,4.012499999999996,0.0,0.0,2,1,0,3,1,0
380,19.0,7.774999999999999,0.0,0.0,2,1,2,3,1,0
381,42.0,227.52499999999998,0.0,0.0,0,0,0,0,1,1
382,1.0,15.741700000000002,0.0,2.0,2,0,0,1,1,1
383,32.0,7.925000000000001,0.0,0.0,2,1,2,0,1,0
384,35.0,52.0,1.0,0.0,0,0,2,0,1,1
386,18.0,73.5,0.0,0.0,1,1,2,3,1,0
387,1.0,46.9,5.0,2.0,2,1,2,1,0,0
389,25.401784496924833,7.729199999999999,0.0,0.0,2,1,1,4,1,0
390,17.0,12.0,0.0,0.0,1,0,0,3,1,1
391,36.0,120.0,1.0,2.0,0,1,2,0,0,1
392,21.0,7.7958,0.0,0.0,2,1,2,3,1,1
393,28.0,7.925000000000001,2.0,0.0,2,1,2,4,1,0
394,23.0,113.275,1.0,0.0,0,0,0,4,1,1
395,24.0,16.7,0.0,2.0,2,0,2,4,1,1
396,22.0,7.7958,0.0,0.0,2,1,2,4,1,0
397,31.0,7.854199999999999,0.0,0.0,2,0,2,0,1,0
398,46.0,26.0,0.0,0.0,1,1,2,0,1,0
399,23.0,10.5,0.0,0.0,1,1,2,4,1,0
400,28.0,12.649999999999999,0.0,0.0,1,0,2,4,1,1
401,39.0,7.925000000000001,0.0,0.0,2,1,2,0,1,1
402,26.0,8.05,0.0,0.0,2,1,2,4,1,0
403,21.0,9.825,1.0,0.0,2,0,2,3,1,0
404,28.0,15.850000000000001,1.0,0.0,2,1,2,4,1,0
405,20.0,8.662500000000001,0.0,0.0,2,0,2,3,1,0
406,34.0,21.0,1.0,0.0,1,1,2,0,1,0
407,51.0,7.75,0.0,0.0,2,1,2,2,1,0
408,3.0,18.75,1.0,1.0,1,1,2,1,1,1
409,21.0,7.774999999999999,0.0,0.0,2,1,2,3,1,0
412,26.03862032941925,6.8583,0.0,0.0,2,1,1,4,1,0
413,33.0,90.0,1.0,0.0,0,0,1,0,1,1
415,44.0,7.925000000000001,0.0,0.0,2,1,2,0,1,1
416,30.4,8.05,0.0,0.0,2,0,2,0,1,0
417,34.0,32.5,1.0,1.0,1,0,2,0,1,1
418,18.0,13.0,0.0,2.0,1,0,2,3,1,1
420,10.0,24.15,0.0,2.0,2,0,2,1,1,0
422,21.0,7.7333,0.0,0.0,2,1,1,3,1,0
423,29.0,7.875,0.0,0.0,2,1,2,4,1,0
424,28.0,14.399999999999999,1.0,1.0,2,0,2,4,1,0
425,18.0,20.2125,1.0,1.0,2,1,2,3,1,0
427,28.0,26.0,1.0,0.0,1,0,2,4,1,1
428,19.0,26.0,0.0,0.0,1,0,2,3,1,1
430,32.0,8.05,0.0,0.0,2,1,2,0,1,1
431,28.0,26.55,0.0,0.0,0,1,2,4,1,1
433,42.0,26.0,1.0,0.0,1,0,2,0,1,1
434,17.0,7.125,0.0,0.0,2,1,2,3,1,0
435,50.0,55.9,1.0,0.0,0,1,2,2,1,0
436,14.000000000000002,120.0,1.0,2.0,0,0,2,3,0,1
437,21.0,34.375,2.0,2.0,2,0,2,3,0,0
438,24.0,18.75,2.0,3.0,1,0,2,4,0,1
439,64.0,263.00000000000006,1.0,4.0,0,1,2,2,0,0
440,31.0,10.5,0.0,0.0,1,1,2,0,1,0
441,45.0,26.25,1.0,1.0,1,0,2,0,1,1
442,20.0,9.5,0.0,0.0,2,1,2,3,1,0
444,28.0,13.0,0.0,0.0,1,0,2,4,1,1
445,38.106634107638044,8.1125,0.0,0.0,2,1,2,0,1,1
446,4.0,81.8583,0.0,2.0,0,1,2,1,1,1
447,13.0,19.5,0.0,1.0,1,0,2,3,1,1
448,34.0,26.55,0.0,0.0,0,1,2,0,1,1
449,5.0,19.2583,2.0,1.0,2,0,0,1,0,1
450,52.0,30.5,0.0,0.0,0,1,2,2,1,1
451,36.0,27.75,1.0,2.0,1,1,2,0,0,0
452,31.000000000000103,19.9667,1.0,0.0,2,1,2,0,1,0
453,30.0,27.75,0.0,0.0,0,1,0,0,1,0
454,49.0,89.1042,1.0,0.0,0,1,0,0,1,1
456,29.0,7.895800000000001,0.0,0.0,2,1,0,4,1,1
457,65.0,26.55,0.0,0.0,0,1,2,2,1,0
458,39.14203078189207,51.8625,1.0,0.0,0,0,2,0,1,1
459,50.0,10.5,0.0,0.0,1,0,2,2,1,1
461,48.0,26.55,0.0,0.0,0,1,2,0,1,1
462,34.0,8.05,0.0,0.0,2,1,2,0,1,0
463,47.0,38.5,0.0,0.0,0,1,2,0,1,0
464,48.0,13.0,0.0,0.0,1,1,2,0,1,0
466,38.0,7.050000000000001,0.0,0.0,2,1,2,0,1,0
468,56.0,26.55,0.0,0.0,0,1,2,2,1,0
469,28.39701984793719,7.725000000000001,0.0,0.0,2,1,1,4,1,0
470,0.75,19.2583,2.0,1.0,2,0,0,1,0,1
472,38.0,8.662500000000001,0.0,0.0,2,1,2,0,1,0
473,33.0,27.75,1.0,2.0,1,0,2,0,0,1
474,23.0,13.791699999999999,0.0,0.0,1,0,0,4,1,1
475,22.0,9.837499999999999,0.0,0.0,2,0,2,4,1,0
476,47.00003010075227,52.0,0.0,0.0,0,1,2,0,1,0
478,29.0,7.0458,1.0,0.0,2,1,2,4,1,0
479,22.0,7.520800000000001,0.0,0.0,2,1,2,4,1,0
480,2.0,12.287500000000001,0.0,1.0,2,0,2,1,1,1
481,9.0,46.9,5.0,2.0,2,1,2,1,0,0
483,50.0,8.05,0.0,0.0,2,1,2,2,1,0
484,63.0,9.587499999999999,0.0,0.0,2,0,2,2,1,1
485,25.0,91.0792,1.0,0.0,0,1,0,4,1,1
487,35.0,90.0,1.0,0.0,0,0,2,0,1,1
488,58.0,29.7,0.0,0.0,0,1,0,2,1,0
490,9.0,15.899999999999999,1.0,1.0,2,1,2,1,1,1
492,21.0,7.25,0.0,0.0,2,1,2,3,1,0
493,55.0,30.5,0.0,0.0,0,1,2,2,1,0
494,71.0,49.5042,0.0,0.0,0,1,0,2,1,0
496,17.000101671943618,14.458300000000001,0.0,0.0,2,1,0,3,1,0
497,54.0,78.2667,1.0,0.0,0,0,0,2,1,1
498,30.531145787653113,15.100000000000001,0.0,0.0,2,1,2,0,1,0
499,25.0,151.55,1.0,2.0,0,0,2,4,0,0
500,24.0,7.7958,0.0,0.0,2,1,2,4,1,0
